id,ChapterName,difficulty_1_to_5,difficulty_reason,covered_model_count,difficulty_model_count,raw_solved_count,solved_with_reasoning_count,small_model_solved_count,failed_count,difficulty_failed_models,gpt5_manual_label,qwen3_4b_manual_label,qwen2_5_7b_manual_label,gemma3_4b_manual_label,mistral3_3b_manual_label,gpt5_judge_label,qwen3_4b_judge_label,qwen2_5_7b_judge_label,gemma3_4b_judge_label,mistral3_3b_judge_label,llama3_2_3b_judge_label,failed_models,non_genuine_failure_models_from_notes,dominant_error_types,manual_note,expected_final_answer
1,ম্যাট্রিক্স ও নির্ণায়ক,5,"0/4 small models solved with proper reasoning; failed small models: qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,1,1,0,4,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",1,0,0,0,0,1,0,0,0,0,0,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",,"no_or_insufficient_reasoning,dimension_or_structure_error,arithmetic_or_algebra_error",Gemma: calculation mistake while mul;tiplying matrix. Specifically (AB)_12 Qwen: didnt even solve. Just said there is a relation between A and B. also wrote B^-1=A. Without anycalculation Mistral: solving in wrong way. Calculating B^-1 first without figuring out AB=BA. Since AB=x^2I. So B^-1 is simple from there.,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$"
2,ম্যাট্রিক্স ও নির্ণায়ক,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"qwen2_5_7b,mistral3_3b",1,1,0,1,0,1,1,0,1,0,0,"qwen2_5_7b,mistral3_3b",,"dimension_or_structure_error,formula_or_method_error",Mistral: failed to get A from A^-1,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$
3,ম্যাট্রিক্স ও নির্ণায়ক,4,"1/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,2,2,1,3,"qwen2_5_7b,gemma3_4b,mistral3_3b",1,1,0,0,0,1,1,0,0,0,0,"qwen2_5_7b,gemma3_4b,mistral3_3b",,"question_misinterpretation,dimension_or_structure_error",Gemma: failed to understand dimension of A. [3 by 1 matrix]A=[3 by 3 matrix] Mistral: same as gemma,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$
4,ম্যাট্রিক্স ও নির্ণায়ক,2,3/4 small models solved with proper reasoning; failed small models: qwen2_5_7b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score,5,4,4,4,3,1,qwen2_5_7b,1,1,0,1,1,0,1,0,1,1,0,qwen2_5_7b,gpt5,dimension_or_structure_error,,$B=\begin{bmatrix}1&2\\2&3\end{bmatrix}$
5,ম্যাট্রিক্স ও নির্ণায়ক,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"qwen2_5_7b,mistral3_3b",1,1,0,1,0,1,0,0,0,0,0,"qwen2_5_7b,mistral3_3b",gemma3_4b,"no_or_insufficient_reasoning,arithmetic_or_algebra_error","Gemma: reasoning correct but final predicted answer is copied wrongly from detailed predicted solution. Mistral: wrong solution. To determinant become 0, its required the whole row or column to be 0",$-114$
6,ম্যাট্রিক্স ও নির্ণায়ক,2,3/4 small models solved with proper reasoning; failed small models: qwen3_4b; GPT-5 excluded from difficulty score,5,4,4,4,3,1,qwen3_4b,1,0,1,1,1,1,0,0,1,1,0,qwen3_4b,qwen2_5_7b,arithmetic_or_algebra_error,"Qwen: solve till determinant correctly but while calculate x^3+...=0, it made the mistake.","$x=-1,-11,3$"
7,ম্যাট্রিক্স ও নির্ণায়ক,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,gemma3_4b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"qwen2_5_7b,gemma3_4b",1,1,0,0,1,0,1,0,0,1,0,"qwen2_5_7b,gemma3_4b",,"no_or_insufficient_reasoning,arithmetic_or_algebra_error",Gemma: wrong solution. Mistake in the first step of finding determinant. MIstral: correct solution but too much contradictory and unnecessary statements,$p(1-p)^2(p^2-1)$
9,ম্যাট্রিক্স ও নির্ণায়ক,2,3/4 small models solved with proper reasoning; failed small models: mistral3_3b; GPT-5 excluded from difficulty score,5,4,4,4,3,1,mistral3_3b,1,1,1,1,0,1,1,1,1,0,0,mistral3_3b,,arithmetic_or_algebra_error,Mistral: wrong solution method. Made calculation mnistake there,"$x=2,\ y=2,\ z=1$"
10,ম্যাট্রিক্স ও নির্ণায়ক,5,"0/4 small models solved with proper reasoning; failed small models: qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,1,1,0,4,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",1,0,0,0,0,1,0,0,1,0,0,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",,"format_or_final_extraction,dimension_or_structure_error",Model solutions are not taking n*pi-pi/6 as answers.,$\theta=n\pi\pm\frac{\pi}{6}$
11,ম্যাট্রিক্স ও নির্ণায়ক,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,$\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}$
12,ম্যাট্রিক্স ও নির্ণায়ক,4,"1/4 small models solved with proper reasoning; failed small models: qwen3_4b,gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,2,2,1,3,"qwen3_4b,gemma3_4b,mistral3_3b",1,0,1,0,0,1,0,0,0,0,0,"qwen3_4b,gemma3_4b,mistral3_3b",qwen2_5_7b,"output_corruption,question_misinterpretation,arithmetic_or_algebra_error","Gemma: found the equation but then instead of simplification started to calculate final value using different a,b,c. Quen: corrupted output Mistral: wrong step while calculating minor determinant",$3c(a-2b)(2b-3c)$
13,ম্যাট্রিক্স ও নির্ণায়ক,2,3/4 small models solved with proper reasoning; failed small models: qwen2_5_7b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score,5,4,4,4,3,1,qwen2_5_7b,1,1,0,1,1,1,1,0,1,1,1,qwen2_5_7b,,no_or_insufficient_reasoning,,$B=\begin{bmatrix}-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}$
14,ভেক্টর,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,gemma3_4b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"qwen2_5_7b,gemma3_4b",1,1,0,0,1,1,1,0,0,1,0,"qwen2_5_7b,gemma3_4b",,"formula_or_method_error,arithmetic_or_algebra_error","Gemma: Gemma ভুল করেছে: cross product পাওয়ার পর unit scaling না করে সরাসরি \(5\) দিয়ে গুণ করেছে, তাই \(-25\hat i-25\hat j-25\hat k\) পেয়েছে।",$\pm\frac{5}{\sqrt{3}}(\hat{i}+\hat{j}+\hat{k})$
