id,ChapterName,label,expected_final_answer,predicted_final_answer
1,ম্যাট্রিক্স ও নির্ণায়ক,0,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$",$B^{-1} = A$
2,ম্যাট্রিক্স ও নির্ণায়ক,1,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,"$$
\begin{bmatrix} 11 & -9 \\ -27 & 38 \end{bmatrix}
$$"
3,ম্যাট্রিক্স ও নির্ণায়ক,1,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,"$$
\begin{bmatrix}-1 & 2 & 1\end{bmatrix}
$$"
4,ম্যাট্রিক্স ও নির্ণায়ক,1,$B=\begin{bmatrix}1&2\\2&3\end{bmatrix}$,"$$
\begin{bmatrix} 1 & 2 \\ 2 & 3 \end{bmatrix}
$$"
5,ম্যাট্রিক্স ও নির্ণায়ক,0,$-114$,"$$
\boxed{0}
$$"
6,ম্যাট্রিক্স ও নির্ণায়ক,0,"$x=-1,-11,3$","$$
x = -3, -3, 11
$$"
7,ম্যাট্রিক্স ও নির্ণায়ক,0,$p(1-p)^2(p^2-1)$,$p^5 - 2p^4 + 2p^2 - p$
9,ম্যাট্রিক্স ও নির্ণায়ক,1,"$x=2,\ y=2,\ z=1$","$ x = 2, y = 2, z = 1 $"
10,ম্যাট্রিক্স ও নির্ণায়ক,0,$\theta=n\pi\pm\frac{\pi}{6}$,"$$
\frac{\pi}{6}
$$"
11,ম্যাট্রিক্স ও নির্ণায়ক,1,$\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}$,"$$
\begin{bmatrix}
0 & 0 & 0 \\
0 & 0 & 0 \\
0 & 0 & 0
\end{bmatrix}
$$"
12,ম্যাট্রিক্স ও নির্ণায়ক,0,$3c(a-2b)(2b-3c)$,
13,ম্যাট্রিক্স ও নির্ণায়ক,1,$B=\begin{bmatrix}-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}$,"$$
\begin{bmatrix}-\frac{1}{2} & \frac{3}{2} \\ 1 & -2\end{bmatrix}
$$"
14,ভেক্টর,0,$\pm\frac{5}{\sqrt{3}}(\hat{i}+\hat{j}+\hat{k})$,"$$
-\frac{5}{\sqrt{3}}\hat{i} - \frac{5}{\sqrt{3}}\hat{j} - \frac{5}{\sqrt{3}}\hat{k}
$$"
15,ভেক্টর,0,$\pm\frac{2\hat{i}-\hat{j}-\hat{k}}{\sqrt{6}}$,$\vec{c} = \frac{1}{\sqrt{2}}(\hat{i} + \hat{j} + \hat{k})$
16,ভেক্টর,1,$\theta=150^{\circ}$,$150^\circ$
17,ভেক্টর,0,"$\frac{x}{a}=\frac{y}{b}=\frac{z}{c}$ যেখানে $a\ne0,\ b\ne0,\ c\ne0$","$$
\vec{r} = (3\hat{i} + \hat{j} + \hat{k}) + \lambda (2\hat{i} + 2\hat{j} - \hat{k})
$$"
18,ভেক্টর,1,$\frac{\pi}{3}$,$60^\circ$
19,ভেক্টর,1,$\frac{3\sqrt{3}}{2}$ বর্গ একক,$\frac{3\sqrt{3}}{2}$
