ChapterName,total,correct,incorrect,accuracy
ফাংশন,10,2,8,0.2
জটিল সংখ্যা,19,3,16,0.15789473684210525
সম্ভাবনা,33,5,28,0.15151515151515152
অন্তরীকরণ,74,9,65,0.12162162162162163
বাস্তব সংখ্যা ও অসমতা,9,1,8,0.1111111111111111
ম্যাট্রিক্স ও নির্ণায়ক,12,1,11,0.08333333333333333
ত্রিকোণমিতি,41,3,38,0.07317073170731707
সরলরেখা,35,2,33,0.05714285714285714
ভেক্টর,18,1,17,0.05555555555555555
কণিক,37,2,35,0.05405405405405406
গতিবিদ্যা,38,2,36,0.05263157894736842
দ্বিপদী বিস্তৃতি,20,1,19,0.05
বিন্যাস ও সমাবেশ,20,1,19,0.05
বহুপদী ও সমীকরণ,22,0,22,0.0
বৃত্ত,25,0,25,0.0
রৈখিক প্রোগ্রামিং,3,0,3,0.0
সমাকলন,78,0,78,0.0
স্থিতিবিদ্যা,34,0,34,0.0
