ChapterName,total,correct,incorrect,accuracy
ফাংশন,10,5,5,0.5
জটিল সংখ্যা,19,9,10,0.47368421052631576
অন্তরীকরণ,74,34,40,0.4594594594594595
সমাকলন,78,33,45,0.4230769230769231
ম্যাট্রিক্স ও নির্ণায়ক,12,5,7,0.4166666666666667
সরলরেখা,35,14,21,0.4
সম্ভাবনা,33,13,20,0.3939393939393939
ত্রিকোণমিতি,41,16,25,0.3902439024390244
ভেক্টর,18,7,11,0.3888888888888889
বহুপদী ও সমীকরণ,22,8,14,0.36363636363636365
বাস্তব সংখ্যা ও অসমতা,9,3,6,0.3333333333333333
দ্বিপদী বিস্তৃতি,20,6,14,0.3
বৃত্ত,25,6,19,0.24
গতিবিদ্যা,38,9,29,0.23684210526315788
বিন্যাস ও সমাবেশ,20,3,17,0.15
স্থিতিবিদ্যা,34,5,29,0.14705882352941177
কণিক,37,5,32,0.13513513513513514
রৈখিক প্রোগ্রামিং,3,0,3,0.0
