id,ChapterName,label,expected_final_answer,predicted_final_answer
1,ম্যাট্রিক্স ও নির্ণায়ক,0,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$","**
\( AB \) ও \( BA \) সাধারণত সমান নয়। \( B^{-1} \) প্রকাশ করা হয়:
\[
B^{-1} = \frac{1}{x} \begin{bmatrix}3 & -2 & -1 \\ 2 & 1 & 11 \\ -1 & 7 & 1\end{bmatrix}
\]"
2,ম্যাট্রিক্স ও নির্ণায়ক,0,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,"[
\begin{bmatrix}
\frac{3}{5} & -\frac{33}{25} \\
\frac{33}{25} & -\frac{18}{25}
\end{bmatrix}
\]"
3,ম্যাট্রিক্স ও নির্ণায়ক,0,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,"**
\[
\begin{bmatrix}
-1 & 2 & 1 \\
-1 & 2 & 1 \\
-1 & 2 & 1
\end{bmatrix}
\]"
4,ম্যাট্রিক্স ও নির্ণায়ক,1,$B=\begin{bmatrix}1&2\\2&3\end{bmatrix}$,"**
\[
B = \begin{bmatrix} 1 & 2 \\ 2 & 3 \end{bmatrix}
\]"
5,ম্যাট্রিক্স ও নির্ণায়ক,0,$-114$,
6,ম্যাট্রিক্স ও নির্ণায়ক,1,"$x=-1,-11,3$","**
\( x = -11, -1, 3 \)"
7,ম্যাট্রিক্স ও নির্ণায়ক,0,$p(1-p)^2(p^2-1)$,( p^5 - 2p^4 + 2p^2 - p \)
9,ম্যাট্রিক্স ও নির্ণায়ক,0,"$x=2,\ y=2,\ z=1$","( x = \frac{12}{49}, y = \frac{109}{98}, z = -\frac{1}{28} \)"
10,ম্যাট্রিক্স ও নির্ণায়ক,1,$\theta=n\pi\pm\frac{\pi}{6}$,"**
\(\theta = 30^\circ\) (অথবা \(30^\circ + 180^\circ n\) এর সাধারণ সমাধান)"
11,ম্যাট্রিক্স ও নির্ণায়ক,1,$\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}$,"[
\begin{bmatrix}
0 & 0 & 0 \\
0 & 0 & 0 \\
0 & 0 & 0
\end{bmatrix}
\]"
12,ম্যাট্রিক্স ও নির্ণায়ক,0,$3c(a-2b)(2b-3c)$,(3abc\)
13,ম্যাট্রিক্স ও নির্ণায়ক,1,$B=\begin{bmatrix}-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}$,"**
\[
\begin{bmatrix}-\frac{1}{2} & \frac{3}{2} \\ 1 & -2\end{bmatrix}
\]"
14,ভেক্টর,0,$\pm\frac{5}{\sqrt{3}}(\hat{i}+\hat{j}+\hat{k})$,"**
\[
\boxed{-\frac{5}{\sqrt{3}}\hat{i} - \frac{5}{\sqrt{3}}\hat{j} - \frac{5}{\sqrt{3}}\hat{k}}
\]
*(অথবা \(\frac{5}{\sqrt{3}}\hat{i} + \frac{5}{\sqrt{3}}\hat{j} + \frac{5}{\sqrt{3}}\hat{k}\)ও সমানভাবে সঠিক।)*"
15,ভেক্টর,0,$\pm\frac{2\hat{i}-\hat{j}-\hat{k}}{\sqrt{6}}$,$\frac{1}{\sqrt{2}}\hat{j} - \frac{1}{\sqrt{2}}\hat{k}$
16,ভেক্টর,1,$\theta=150^{\circ}$,(150^\circ\)
17,ভেক্টর,0,"$\frac{x}{a}=\frac{y}{b}=\frac{z}{c}$ যেখানে $a\ne0,\ b\ne0,\ c\ne0$","**
\[
(3 - \lambda)\hat{i} + (1 + \lambda)\hat{j} + (1 - 2\lambda)\hat{k}
\]"
18,ভেক্টর,1,$\frac{\pi}{3}$,60°
19,ভেক্টর,1,$\frac{3\sqrt{3}}{2}$ বর্গ একক,"**
$\dfrac{3\sqrt{3}}{2}$"
20,ভেক্টর,0,"$\vec{W}=-\frac{45}{29}\hat{i}+\frac{3}{29}\hat{j}+\frac{34}{29}\hat{k}$, $\frac{110}{\sqrt{3190}}$","**
০"
21,ভেক্টর,1,$\sqrt{299}$,(\sqrt{299}\)
24,ভেক্টর,0,$a=5$,"**
**\(a = 6\)**"
25,ভেক্টর,0,"$|\overrightarrow{AB}|=\sqrt{76}$, $\hat{a}=\frac{2\hat{i}-6\hat{j}+6\hat{k}}{\sqrt{76}}$","**
$\overrightarrow{AB} = 2\hat{i} - 6\hat{j} + 6\hat{k}$
$\overrightarrow{AB}$ এর মান: $2\sqrt{19}$
$\overrightarrow{AB}$ বরাবর একক ভেক্টর: $\frac{1}{\sqrt{19}}\hat{i} - \frac{3}{\sqrt{19}}\hat{j} + \frac{3}{\sqrt{19}}\hat{k}$"
26,ভেক্টর,1,$\frac{1}{2}\sqrt{107}$,(\frac{\sqrt{107}}{2}\)
27,ভেক্টর,1,$\theta=\cos^{-1}\left(\frac{2}{3}\right)$,(\cos^{-1}\left(\frac{2}{3}\right)\) ডিগ্রিতে \(\approx 48.19^\circ\)
28,ভেক্টর,0,$\pm\frac{1}{3}(2\hat{i}+\hat{j}-2\hat{k})$,"(\left(\frac{2}{3}, \frac{1}{3}, -\frac{2}{3}\right)\)"
29,ভেক্টর,0,$\frac{\sqrt{3}+1}{4}$,"**
\[
\left( \frac{3 + \sqrt{3}}{16}, \frac{3(\sqrt{3} + 1)}{16}, -\frac{\sqrt{3} + 1}{8} \right)
\]"
30,ভেক্টর,0,সমকোণী ত্রিভুজ গঠন করা সম্ভব।,
31,ভেক্টর,1,"$a=1, b=1$","(a = 1\), \(b = 1\)"
32,ভেক্টর,0,$2\sqrt{61}$,$12\hat{i} - 6\hat{j} - 8\hat{k}$
33,সরলরেখা,0,$k=\pm5$,5
34,সরলরেখা,0,"$5+20\sqrt{3}$ বর্গ একক, $20\sqrt{3}-5$ বর্গ একক","**
\( 15\sqrt{3} + 10 \)"
35,সরলরেখা,1,"$a=-5, b=-4$; $3x+6y+1=0$","**
$a = -5$, $b = -4$; $AB$ রেখার সমীকরণ: $3x + 6y + 1 = 0$"
36,সরলরেখা,0,$x-2y+3=0$,( y = \frac{1}{2}x + \frac{3}{2} \)
37,সরলরেখা,0,$(y-2)=7(x-1)$ এবং $(y-2)=-\frac{1}{7}(x-1)$,(3x - 4y + 5 = 0\) এবং \(4x + 3y - 10 = 0\)
38,সরলরেখা,1,"$(6,-8)$","((6, -8)\)"
39,সরলরেখা,0,"$\varphi=\sqrt{\frac{3\pm\sqrt{5}}{2}}$ বা, $\varphi=0.618$ (প্রায়) ও $1.618$ (প্রায়)",(\sqrt{\frac{\sqrt{13} - 1}{2}}\)
40,সরলরেখা,0,$x+3y-8\pm3\sqrt{10}=0$,(x + 3y \pm 3\sqrt{10} = 0\)
42,সরলরেখা,0,$3x-y=1$,(y = 3x + 1\)
43,সরলরেখা,0,$11x+3y-17=0$,( 33x - 20y + 7 = 0 \)
44,সরলরেখা,0,"$\pm\cot2\alpha$; $\alpha$, $\frac{\pi}{2}-\alpha$","**
দুটি রেখার অন্তর্গত কোণ \(\frac{\pi}{4}\) এবং রেখাগুলি \(x\)-অক্ষের সাথে কোণ \(\alpha\) এবং \(\frac{\pi}{2} - \alpha\) তৈরি করে।"
45,সরলরেখা,1,$2$ একক,2
46,সরলরেখা,0,$x+y+2=0$,
47,সরলরেখা,1,$135^{\circ}$,135°
48,সরলরেখা,0,$\frac{4}{3}$,(\frac{25}{18}\)
49,সরলরেখা,0,$(b^2+a^2)y-ac=0$,"**
\[
y = \frac{ac}{a^2 + b^2}
\]"
50,সরলরেখা,0,$7x-24y+359=0$,"**
\( 8x - 15y + 199 = 0 \)"
51,সরলরেখা,1,"$(8,-5)$ অথবা $(-8,5)$","$(-8, 5)$"
52,সরলরেখা,0,$14x-21y-108=0$,(2x - 7y - 36 = 0\)
53,সরলরেখা,0,"$(2-\sqrt{3})x+y=10-3\sqrt{3}$, $(2+\sqrt{3})x+y=10+3\sqrt{3}$","**
$y = (2 - \sqrt{3})x - 2 + 3\sqrt{3}$ এবং $y = (\sqrt{3} - 2)x - 3\sqrt{3} + 10$"
54,সরলরেখা,0,"$y=2x+400$; $1,000$ টাকা","**
১০০০ টাকা"
56,সরলরেখা,0,$ABCD$ ট্রাপিজিয়াম নয়।,"**
হ্যাঁ, \(ABCD\) একটি ট্রাপিজিয়াম।"
57,সরলরেখা,1,$\alpha=30^{\circ}$ অথবা $210^{\circ}$ এবং $p=-\frac{1}{\sqrt{3}}$ অথবা $\frac{1}{\sqrt{3}}$,"(\alpha = \frac{\pi}{6}\), \( p = -\frac{\sqrt{3}}{3}\)"
58,সরলরেখা,1,$\theta=\tan^{-1}\frac{7}{4}=60.255^{\circ}$,"**
\(\arctan\left(\frac{7}{4}\right)\)"
59,সরলরেখা,1,$2x+11y-34=0$,2x + 11y - 34 = 0
60,সরলরেখা,0,$12x+18y-129=0$,"**
\(4x + 6y - 43 = 0\)"
61,সরলরেখা,1,$k=\frac{8}{5}$,(\frac{8}{5}\)
62,সরলরেখা,0,$3x^2-y^2=0$,"**
\( y^2 = \frac{x^2}{3} \)"
63,সরলরেখা,1,$5$,"**
5"
64,সরলরেখা,0,"$(5,2)$, $4\sqrt{5}$","**
\(\left(\frac{31}{3}, \frac{38}{3}\right)\) এবং \(\frac{20\sqrt{5}}{3}\)"
65,সরলরেখা,1,$3x-y=0$,"**
\[
y = 3x
\]"
67,সরলরেখা,1,$\sqrt{3}x+y=10$,"**
\[
y = -\sqrt{3}x + 10
\]"
68,সরলরেখা,0,$x+y=9$ ও $x-y=1$,
69,সরলরেখা,1,"$(6,5)$","**
\( (6, 5) \)"
70,সরলরেখা,1,$32$ বর্গ একক,"**
32"
71,বৃত্ত,0,$x^2+y^2-8x+7y-3=0$,"**
\[
(x + 2)^2 + \left(y - \frac{9}{2}\right)^2 = \frac{125}{4}
\]"
72,বৃত্ত,0,"$C(0,\pm\sqrt{2}a)$, $x^2+y^2-ax-2a^2=0$",
73,বৃত্ত,1,"$x-2y+4=0$, $2x+y+3=0$","**
স্পর্শক সমীকরণ: \( 2x + y + 3 = 0 \)
লম্ব রেখার সমীকরণ: \( x - 2y + 4 = 0 \)"
74,বৃত্ত,0,$3x+4y-25=0$,"**
\( 4x - 3y = 0 \)"
75,বৃত্ত,0,$x^2+\left(y-\frac{5}{3}\right)^2=\frac{25}{9}$,(x^2 + y^2 - \frac{10}{3} y = 0\)
76,বৃত্ত,0,$\frac{\sqrt{6437}}{3}=26.74$ (প্রায়),"**
\(\frac{17\sqrt{2}}{6}\)"
77,বৃত্ত,1,$(x-3)^2+(y-4)^2=4$ এবং $(x-3)^2+(y-4)^2=64$,"**
\[
(x - 3)^2 + (y - 4)^2 = 64 \quad \text{ এবং } \quad (x - 3)^2 + (y - 4)^2 = 4
\]"
78,বৃত্ত,0,$(x-5)^2+(y\pm\sqrt{21})^2=25$,
79,বৃত্ত,0,$x^2+y^2-4x-2y+4=0$,"**
$(x - 2)^2 + (y - 1)^2 = 1$"
80,বৃত্ত,0,"$AB=2\sqrt{5}$, $2\sqrt{5}$ বর্গ একক","**
\(2\sqrt{5}\)"
81,বৃত্ত,1,$(x-3)^2+(y-4)^2=4$,"**
\[
(x - 3)^2 + (y - 4)^2 = 4
\]"
82,বৃত্ত,0,$(x-4)^2+(y\pm5)^2=5^2$,"[
(x - 4)^2 + (y \mp 6)^2 = 36
\] (দুটি সমীকরণের মধ্যে একটি)
অর্থাৎ, সঠিক সমীকরণ দুটি:
\[
(x - 4)^2 + (y - 6)^2 = 36 \quad \text{বা} \quad (x - 4)^2 + (y + 6)^2 = 36
\]"
83,বৃত্ত,1,$x-y\pm3\sqrt{2}=0$,"**
\( x - y \pm 3\sqrt{2} = 0 \)"
84,বৃত্ত,0,$x-y=0$ ও $x-y+12=0$,
85,বৃত্ত,0,"$a=3,\frac{77}{9}$",
86,বৃত্ত,0,$(x-13)^2+(y-13)^2=13^2$ এবং $(x-5)^2+(y-5)^2=5^2$,"**
\[
(x - 13)^2 + (y - 13)^2 = 169
\]"
87,বৃত্ত,0,$r=3\sqrt{2}$,"**
\(\boxed{\dfrac{13}{3}}\)"
88,বৃত্ত,0,$x^2+y^2-8x-10y+1=0$,"**
\((x - 4)^2 + (y - 5)^2 = 40\)"
89,বৃত্ত,1,$x^2+y^2=2a^2$,"**
\( x^2 + y^2 = 2a^2 \)"
90,বৃত্ত,0,$12x+5y=0$ এবং $5x-12y=0$,"**
বৃত্তের ব্যাসের সমীকরণ: \(12x - 5y = 6b\)
মূল বিন্দুতে অঙ্কিত স্পর্শকের সমীকরণ: \(12x - 5y = 6b\)"
91,বৃত্ত,1,"$c=4$, স্পর্শবিন্দু $=(2,0)$","= 4, স্পর্শবিন্দু = (2, 0)"
92,বৃত্ত,0,"$x^2+y^2-4x-6y+9=0$, $0$","**
বৃত্তের সমীকরণ: $(x-2)^2 + (y-3)^2 = 4$
$y$-অক্ষ কর্তিত জ্যা দৈর্ঘ্য: $0$"
93,বৃত্ত,0,"$x+6y-9=0$, $6x-y-17=0$","**
স্পর্শক: \(x + 6y - 7 = 0\)
অভিলম্ব: \(6x - y - 17 = 0\)"
94,বৃত্ত,0,"$x^2+y^2-4x+2y+4=0$, $4x+3y=0$","**
বৃত্তের সমীকরণ: \((x - 2)^2 + (y + 1)^2 = 1\)

মূলবিন্দু দিয়ে গমনকারী অপর স্পর্শকটির সমীকরণ: \(y = -x\)"
95,বিন্যাস ও সমাবেশ,1,$68$ টি,68
96,বিন্যাস ও সমাবেশ,0,$756$,
97,বিন্যাস ও সমাবেশ,0,"$n=12,\ r=3$","**
\( n = 13 \), \( r = 3 \)"
98,বিন্যাস ও সমাবেশ,0,$36$,
99,বিন্যাস ও সমাবেশ,1,$3600$,"**
3600"
100,বিন্যাস ও সমাবেশ,0,$18720$,"**
**iodnctor** (অথবা অন্যান্য সঠিক বিন্যাস যেমন: **odnictir**, **dionctor**, **nidctoro** ইত্যাদি)"
101,বিন্যাস ও সমাবেশ,0,$4914000$,"**
24"
102,বিন্যাস ও সমাবেশ,0,$3\times\frac{6!}{2!2!}$,"**
48"
103,বিন্যাস ও সমাবেশ,0,$4315672$,
104,বিন্যাস ও সমাবেশ,0,$115$,114
105,বিন্যাস ও সমাবেশ,0,$155$টি,"**
80"
106,বিন্যাস ও সমাবেশ,1,$344$,"**
344"
107,বিন্যাস ও সমাবেশ,0,$476$,"**
63360"
108,বিন্যাস ও সমাবেশ,0,$200$,150
109,বিন্যাস ও সমাবেশ,0,$276$,"**
46"
110,বিন্যাস ও সমাবেশ,0,$99$,
111,বিন্যাস ও সমাবেশ,0,$126126$,126124
112,বিন্যাস ও সমাবেশ,0,"$1260$, $180$, $36$","**
২৫২০, ৬০, ১৪৪"
113,বিন্যাস ও সমাবেশ,0,"$(i)\ 60$, $(ii)\ 60$","**
(i) ১৮, (ii) ১৮"
114,বিন্যাস ও সমাবেশ,0,"$45360$, $630$",720
115,বৃত্ত,0,"$\theta=1.4^c$, $20.73$ বর্গ সে.মি.","**
88.86° এবং 27.05 cm²"
116,ত্রিকোণমিতি,0,$2^n+\frac{1}{2^n}$,(\boxed{\dfrac{17}{4}}\) (for \( n = 2 \))
117,ত্রিকোণমিতি,1,$\cos(x+y)=\frac{a^2-b^2}{a^2+b^2}$,(\frac{a^2 - b^2}{a^2 + b^2}\)
118,ত্রিকোণমিতি,0,"$c=\sqrt{6}$, $A=105^\circ$, $B=15^\circ$","**
\[
A = \arcsin\left(\frac{\sqrt{3} + 1}{2\sqrt{2}}\right), \quad B = \arcsin\left(\frac{\sqrt{3} - 1}{2\sqrt{2}}\right), \quad c = \sqrt{6}
\]"
120,ত্রিকোণমিতি,0,$3\tan3\theta$,(\tan(3\theta)\)
