ChapterName,total,gpt5_correct,gpt5_total,gpt5_accuracy,qwen3_4b_correct,qwen3_4b_total,qwen3_4b_accuracy,mistral3_3b_correct,mistral3_3b_total,mistral3_3b_accuracy,qwen2_5_7b_correct,qwen2_5_7b_total,qwen2_5_7b_accuracy,gemma3_4b_correct,gemma3_4b_total,gemma3_4b_accuracy,llama3_2_3b_instruct_correct,llama3_2_3b_instruct_total,llama3_2_3b_instruct_accuracy
সমাকলন,78,51,78,0.6538461538461539,45,78,0.5769230769230769,31,78,0.3974358974358974,25,78,0.32051282051282054,27,78,0.34615384615384615,0,78,0.0
অন্তরীকরণ,74,45,74,0.6081081081081081,47,74,0.6351351351351351,40,74,0.5405405405405406,30,74,0.40540540540540543,40,74,0.5405405405405406,9,74,0.12162162162162163
ত্রিকোণমিতি,41,31,41,0.7560975609756098,16,41,0.3902439024390244,15,41,0.36585365853658536,18,41,0.43902439024390244,13,41,0.3170731707317073,3,41,0.07317073170731707
গতিবিদ্যা,38,20,38,0.5263157894736842,5,38,0.13157894736842105,10,38,0.2631578947368421,5,38,0.13157894736842105,1,38,0.02631578947368421,2,38,0.05263157894736842
কণিক,37,18,37,0.4864864864864865,10,37,0.2702702702702703,3,37,0.08108108108108109,5,37,0.13513513513513514,2,37,0.05405405405405406,2,37,0.05405405405405406
সরলরেখা,35,25,35,0.7142857142857143,14,35,0.4,12,35,0.34285714285714286,13,35,0.37142857142857144,11,35,0.3142857142857143,2,35,0.05714285714285714
স্থিতিবিদ্যা,34,22,34,0.6470588235294118,3,34,0.08823529411764706,5,34,0.14705882352941177,5,34,0.14705882352941177,1,34,0.029411764705882353,0,34,0.0
সম্ভাবনা,33,30,33,0.9090909090909091,24,33,0.7272727272727273,16,33,0.48484848484848486,16,33,0.48484848484848486,18,33,0.5454545454545454,5,33,0.15151515151515152
বৃত্ত,25,14,25,0.56,6,25,0.24,8,25,0.32,5,25,0.2,4,25,0.16,0,25,0.0
বহুপদী ও সমীকরণ,22,16,22,0.7272727272727273,9,22,0.4090909090909091,9,22,0.4090909090909091,6,22,0.2727272727272727,7,22,0.3181818181818182,0,22,0.0
দ্বিপদী বিস্তৃতি,20,14,20,0.7,7,20,0.35,4,20,0.2,7,20,0.35,3,20,0.15,1,20,0.05
বিন্যাস ও সমাবেশ,20,16,20,0.8,6,20,0.3,4,20,0.2,3,20,0.15,4,20,0.2,1,20,0.05
জটিল সংখ্যা,19,9,19,0.47368421052631576,7,19,0.3684210526315789,8,19,0.42105263157894735,8,19,0.42105263157894735,7,19,0.3684210526315789,3,19,0.15789473684210525
ভেক্টর,18,13,18,0.7222222222222222,9,18,0.5,7,18,0.3888888888888889,8,18,0.4444444444444444,8,18,0.4444444444444444,1,18,0.05555555555555555
ম্যাট্রিক্স ও নির্ণায়ক,12,10,12,0.8333333333333334,7,12,0.5833333333333334,5,12,0.4166666666666667,2,12,0.16666666666666666,7,12,0.5833333333333334,1,12,0.08333333333333333
ফাংশন,10,10,10,1.0,5,10,0.5,5,10,0.5,4,10,0.4,6,10,0.6,2,10,0.2
বাস্তব সংখ্যা ও অসমতা,9,6,9,0.6666666666666666,5,9,0.5555555555555556,4,9,0.4444444444444444,7,9,0.7777777777777778,3,9,0.3333333333333333,1,9,0.1111111111111111
রৈখিক প্রোগ্রামিং,3,2,3,0.6666666666666666,2,3,0.6666666666666666,0,3,0.0,1,3,0.3333333333333333,2,3,0.6666666666666666,0,3,0.0
