ChapterName,model,total,correct,mistakes,accuracy,top_error_types
অন্তরীকরণ,gemma3_4b,74,45,29,0.6081,arithmetic_or_algebra_error:12; question_misinterpretation:8; geometry_condition_error:5; format_or_final_extraction:2; formula_or_method_error:1
অন্তরীকরণ,gpt5,74,62,12,0.8378,missing_case_or_domain_error:3; format_or_final_extraction:3; question_misinterpretation:2; formula_or_method_error:2; arithmetic_or_algebra_error:1
অন্তরীকরণ,mistral3_3b,74,42,32,0.5676,arithmetic_or_algebra_error:13; question_misinterpretation:9; formula_or_method_error:4; no_or_insufficient_reasoning:3; format_or_final_extraction:1
অন্তরীকরণ,qwen2_5_7b,74,37,37,0.5,arithmetic_or_algebra_error:20; no_or_insufficient_reasoning:7; question_misinterpretation:6; format_or_final_extraction:3; missing_case_or_domain_error:1
অন্তরীকরণ,qwen3_4b,74,57,17,0.7703,arithmetic_or_algebra_error:10; format_or_final_extraction:2; question_misinterpretation:2; no_or_insufficient_reasoning:1; geometry_condition_error:1
কণিক,gemma3_4b,37,3,34,0.0811,arithmetic_or_algebra_error:14; question_misinterpretation:11; formula_or_method_error:5; wrong_final_value_or_expression:2; geometry_condition_error:1
কণিক,gpt5,37,26,11,0.7027,formula_or_method_error:5; question_misinterpretation:3; no_or_insufficient_reasoning:2; format_or_final_extraction:1
কণিক,mistral3_3b,37,4,33,0.1081,geometry_condition_error:7; formula_or_method_error:7; arithmetic_or_algebra_error:6; no_or_insufficient_reasoning:5; question_misinterpretation:4
কণিক,qwen2_5_7b,37,5,32,0.1351,arithmetic_or_algebra_error:9; formula_or_method_error:6; question_misinterpretation:6; geometry_condition_error:3; wrong_final_value_or_expression:3
কণিক,qwen3_4b,37,16,21,0.4324,arithmetic_or_algebra_error:6; question_misinterpretation:4; geometry_condition_error:3; formula_or_method_error:3; missing_case_or_domain_error:2
গতিবিদ্যা,gemma3_4b,38,4,34,0.1053,arithmetic_or_algebra_error:10; wrong_final_value_or_expression:10; formula_or_method_error:6; no_or_insufficient_reasoning:3; manual_failure_note_uncategorized:3
গতিবিদ্যা,gpt5,38,26,12,0.6842,question_misinterpretation:3; arithmetic_or_algebra_error:3; missing_case_or_domain_error:3; format_or_final_extraction:2; no_or_insufficient_reasoning:1
গতিবিদ্যা,mistral3_3b,38,9,29,0.2368,arithmetic_or_algebra_error:8; wrong_final_value_or_expression:8; no_or_insufficient_reasoning:4; manual_failure_note_uncategorized:3; question_misinterpretation:3
গতিবিদ্যা,qwen2_5_7b,38,5,33,0.1316,wrong_final_value_or_expression:10; arithmetic_or_algebra_error:7; no_or_insufficient_reasoning:5; formula_or_method_error:4; manual_failure_note_uncategorized:4
গতিবিদ্যা,qwen3_4b,38,9,29,0.2368,wrong_final_value_or_expression:10; arithmetic_or_algebra_error:9; manual_failure_note_uncategorized:2; format_or_final_extraction:2; formula_or_method_error:2
জটিল সংখ্যা,gemma3_4b,19,11,8,0.5789,formula_or_method_error:3; arithmetic_or_algebra_error:2; missing_case_or_domain_error:1; question_misinterpretation:1; no_or_insufficient_reasoning:1
