ChapterName,total,correct,incorrect,accuracy
ফাংশন,10,2,8,0.2
সম্ভাবনা,33,4,29,0.12121212121212122
বাস্তব সংখ্যা ও অসমতা,9,1,8,0.1111111111111111
জটিল সংখ্যা,19,2,17,0.10526315789473684
ত্রিকোণমিতি,41,4,37,0.0975609756097561
অন্তরীকরণ,74,7,67,0.0945945945945946
ম্যাট্রিক্স ও নির্ণায়ক,12,1,11,0.08333333333333333
গতিবিদ্যা,38,2,36,0.05263157894736842
বিন্যাস ও সমাবেশ,20,1,19,0.05
সরলরেখা,35,1,34,0.02857142857142857
ভেক্টর,18,0,18,0.0
বৃত্ত,25,0,25,0.0
সমাকলন,78,0,78,0.0
রৈখিক প্রোগ্রামিং,3,0,3,0.0
বহুপদী ও সমীকরণ,22,0,22,0.0
দ্বিপদী বিস্তৃতি,20,0,20,0.0
কণিক,37,0,37,0.0
স্থিতিবিদ্যা,34,0,34,0.0
