id,ChapterName,difficulty,genuine_failure_count,raw_failure_count,failed_models,non_reasoning_models,genuine_failed_models,gemma_label,qwen_label,mistral_label,source,rationale,manual_note,non_reasoning_reason
1,ম্যাট্রিক্স ও নির্ণায়ক,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Gemma: calculation mistake while mul;tiplying matrix. Specifically (AB)_12 Qwen: didnt even solve. Just said there is a relation between A and B. also wrote B^-1=A. Without anycalculation Mistral: solving in wrong way. Calculating B^-1 first without figurin...,
2,ম্যাট্রিক্স ও নির্ণায়ক,Easy,1,1,mistral,,mistral,1,1,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Mistral: failed to get A from A^-1,
3,ম্যাট্রিক্স ও নির্ণায়ক,Medium,2,2,"gemma,mistral",,"gemma,mistral",0,1,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.",Gemma: failed to understand dimension of A. [3 by 1 matrix]A=[3 by 3 matrix] Mistral: same as gemma,
4,ম্যাট্রিক্স ও নির্ণায়ক,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
5,ম্যাট্রিক্স ও নির্ণায়ক,Easy,1,3,"gemma,qwen,mistral","qwen,gemma",mistral,0,0,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: reasoning correct but final predicted answer is copied wrongly from detailed predicted solution. Mistral: wrong solution. To determinant become 0, its required the whole row or column to be 0",not listed in manual mistake notes; treated as correct/false-positive label; correct reasoning; final answer copied incorrectly
6,ম্যাট্রিক্স ও নির্ণায়ক,Easy,1,1,qwen,,qwen,1,0,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Qwen: solve till determinant correctly but while calculate x^3+...=0, it made the mistake.",
7,ম্যাট্রিক্স ও নির্ণায়ক,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: wrong solution. Mistake in the first step of finding determinant. MIstral: correct solution but too much contradictory and unnecessary statements,
9,ম্যাট্রিক্স ও নির্ণায়ক,Easy,1,1,mistral,,mistral,1,1,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Mistral: wrong solution method. Made calculation mnistake there,
10,ম্যাট্রিক্স ও নির্ণায়ক,Medium,2,2,"qwen,mistral",,"qwen,mistral",1,0,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.",Model solutions are not taking [n*pi](http://n.pi)-pi/6 as answers.,
11,ম্যাট্রিক্স ও নির্ণায়ক,Easy,0,0,,,,1,1,1,model_labels_only,"All three target models solved it, or failures are final-format/non-reasoning only.",,
