id,ChapterName,label,expected_final_answer,predicted_final_answer
1,ম্যাট্রিক্স ও নির্ণায়ক,0,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$",AB = BA হবে যদি x = 0 হয়।
2,ম্যাট্রিক্স ও নির্ণায়ক,1,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$
3,ম্যাট্রিক্স ও নির্ণায়ক,0,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,"A ম্যাট্রিক্সটি নির্ণয় করা সম্ভব নয়, কারণ প্রদত্ত সমীকরণ থেকে একাধিক সমাধান পাওয়া যেতে পারে।"
4,ম্যাট্রিক্স ও নির্ণায়ক,1,$B=\begin{bmatrix}1&2\\2&3\end{bmatrix}$,$\begin{bmatrix}1&2\\2&3\end{bmatrix}$
5,ম্যাট্রিক্স ও নির্ণায়ক,1,$-114$,-114
6,ম্যাট্রিক্স ও নির্ণায়ক,1,"$x=-1,-11,3$","x = -1, 3, -11"
7,ম্যাট্রিক্স ও নির্ণায়ক,0,$p(1-p)^2(p^2-1)$,$p(p-1)(p^2+p+1)$
9,ম্যাট্রিক্স ও নির্ণায়ক,1,"$x=2,\ y=2,\ z=1$","$x = 2, y = 2, z = 1$"
10,ম্যাট্রিক্স ও নির্ণায়ক,0,$\theta=n\pi\pm\frac{\pi}{6}$,"$\theta = \frac{\pi}{6}, \frac{5\pi}{6}, \frac{7\pi}{6}, \frac{11\pi}{6}$"
11,ম্যাট্রিক্স ও নির্ণায়ক,0,$\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}$,<0>
12,ম্যাট্রিক্স ও নির্ণায়ক,0,$3c(a-2b)(2b-3c)$,0
13,ম্যাট্রিক্স ও নির্ণায়ক,1,$B=\begin{bmatrix}-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}$,$\begin{bmatrix}-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}$
14,ভেক্টর,0,$\pm\frac{5}{\sqrt{3}}(\hat{i}+\hat{j}+\hat{k})$,$-25\hat{i} - 25\hat{j} - 25\hat{k}$
15,ভেক্টর,0,$\pm\frac{2\hat{i}-\hat{j}-\hat{k}}{\sqrt{6}}$,$\frac{1}{\sqrt{2}} \hat{j} - \frac{1}{\sqrt{2}} \hat{k}$
16,ভেক্টর,1,$\theta=150^{\circ}$,$150^\circ$
17,ভেক্টর,0,"$\frac{x}{a}=\frac{y}{b}=\frac{z}{c}$ যেখানে $a\ne0,\ b\ne0,\ c\ne0$",সরলরেখা দুটি ছেদ করবে না।
18,ভেক্টর,1,$\frac{\pi}{3}$,$60^\circ$
19,ভেক্টর,1,$\frac{3\sqrt{3}}{2}$ বর্গ একক,$\frac{3\sqrt{3}}{2}$
20,ভেক্টর,0,"$\vec{W}=-\frac{45}{29}\hat{i}+\frac{3}{29}\hat{j}+\frac{34}{29}\hat{k}$, $\frac{110}{\sqrt{3190}}$","$\vec{W} = \frac{5}{7}y\hat{i} - y\hat{j} + \frac{6}{7}y\hat{k}$
$\text{proj}_{\vec{W}} \vec{A} = \vec{0}$"
21,ভেক্টর,1,$\sqrt{299}$,$\sqrt{299}$
24,ভেক্টর,1,$a=5$,5
25,ভেক্টর,0,"$|\overrightarrow{AB}|=\sqrt{76}$, $\hat{a}=\frac{2\hat{i}-6\hat{j}+6\hat{k}}{\sqrt{76}}$","$\overrightarrow{AB} = 2\hat{i} - 6\hat{j} + 6\hat{k}$
$\overrightarrow{AB}$ বরাবর ভেক্টরের মান: $\frac{1}{\sqrt{19}} (\hat{i} - 3\hat{j} + 3\hat{k})$"
26,ভেক্টর,1,$\frac{1}{2}\sqrt{107}$,$\frac{\sqrt{107}}{2}$
27,ভেক্টর,1,$\theta=\cos^{-1}\left(\frac{2}{3}\right)$,$48.19^\circ$
28,ভেক্টর,0,$\pm\frac{1}{3}(2\hat{i}+\hat{j}-2\hat{k})$,"$\left(\frac{2}{3}, \frac{1}{3}, -\frac{2}{3}\right)$"
29,ভেক্টর,0,$\frac{\sqrt{3}+1}{4}$,$\frac{2 + \sqrt{3}}{8}$
30,ভেক্টর,0,সমকোণী ত্রিভুজ গঠন করা সম্ভব।,অসম্ভব
31,ভেক্টর,1,"$a=1, b=1$","a = 1, b = 1"
32,ভেক্টর,0,$2\sqrt{61}$,$-5\hat{i} + 4\hat{k}$
33,সরলরেখা,0,$k=\pm5$,5
34,সরলরেখা,0,"$5+20\sqrt{3}$ বর্গ একক, $20\sqrt{3}-5$ বর্গ একক",$\frac{|5\sqrt{3} - 35|}{2\sqrt{3}}$
35,সরলরেখা,1,"$a=-5, b=-4$; $3x+6y+1=0$","$a = -5, b = -4$
$AB$ সরলরেখার সমীকরণ: $y = -\frac{1}{2}x - \frac{1}{6}$"
36,সরলরেখা,1,$x-2y+3=0$,$y = \frac{1}{2}x + \frac{3}{2}$
37,সরলরেখা,0,$(y-2)=7(x-1)$ এবং $(y-2)=-\frac{1}{7}(x-1)$,"2x+y-4=0, x-2y+3=0"
38,সরলরেখা,1,"$(6,-8)$","(6, -8)"
39,সরলরেখা,0,"$\varphi=\sqrt{\frac{3\pm\sqrt{5}}{2}}$ বা, $\varphi=0.618$ (প্রায়) ও $1.618$ (প্রায়)",$\frac{1}{\sqrt[4]{2}}$
40,সরলরেখা,1,$x+3y-8\pm3\sqrt{10}=0$,$x+3y = 8 \pm 3\sqrt{10}$
42,সরলরেখা,0,$3x-y=1$,$y = \frac{1}{4}x + \frac{1}{2}$
43,সরলরেখা,0,$11x+3y-17=0$,$33x - 56y = -79$
44,সরলরেখা,0,"$\pm\cot2\alpha$; $\alpha$, $\frac{\pi}{2}-\alpha$",$2\alpha$
45,সরলরেখা,1,$2$ একক,2
46,সরলরেখা,0,$x+y+2=0$,$x = -\frac{11}{7}$
47,সরলরেখা,1,$135^{\circ}$,135
48,সরলরেখা,1,$\frac{4}{3}$,$\frac{4}{3}$
49,সরলরেখা,0,$(b^2+a^2)y-ac=0$,y = ac / (b^2 + a^2) অথবা y = 0 (b=0 এর ক্ষেত্রে)
50,সরলরেখা,0,$7x-24y+359=0$,4x - 3y + 23 = 0
51,সরলরেখা,0,"$(8,-5)$ অথবা $(-8,5)$","D(10, 16)"
52,সরলরেখা,1,$14x-21y-108=0$,$y = \frac{2}{3}x - \frac{36}{7}$
53,সরলরেখা,0,"$(2-\sqrt{3})x+y=10-3\sqrt{3}$, $(2+\sqrt{3})x+y=10+3\sqrt{3}$","$y = \sqrt{3}x - 3\sqrt{3} + 4$, $y = -\sqrt{3}x + 3\sqrt{3} + 4$"
54,সরলরেখা,0,"$y=2x+400$; $1,000$ টাকা",1000
