ChapterName,problems,avg_difficulty,rating_1,rating_2,rating_3,rating_4,rating_5,gpt5_failures,top_error_types,gpt5_accuracy,qwen3_4b_accuracy,qwen2_5_7b_accuracy,gemma3_4b_accuracy,mistral3_3b_accuracy
স্থিতিবিদ্যা,34,4.47,0,3,1,7,23,9,arithmetic_or_algebra_error:48; no_or_insufficient_reasoning:22; wrong_final_value_or_expression:17; question_misinterpretation:11; manual_failure_note_uncategorized:9,0.7353,0.1471,0.1176,0.0882,0.1765
গতিবিদ্যা,38,4.29,1,3,4,6,24,12,wrong_final_value_or_expression:38; arithmetic_or_algebra_error:37; no_or_insufficient_reasoning:14; manual_failure_note_uncategorized:12; formula_or_method_error:12,0.6842,0.2368,0.1316,0.1053,0.2368
কণিক,37,4.24,1,1,6,9,20,11,arithmetic_or_algebra_error:35; question_misinterpretation:28; formula_or_method_error:26; geometry_condition_error:14; no_or_insufficient_reasoning:10,0.7027,0.4324,0.1351,0.0811,0.1081
বৃত্ত,25,3.6,0,6,6,5,8,6,geometry_condition_error:48; question_misinterpretation:8; formula_or_method_error:6; arithmetic_or_algebra_error:5; no_or_insufficient_reasoning:2,0.76,0.48,0.2,0.2,0.52
দ্বিপদী বিস্তৃতি,20,3.55,0,4,5,7,4,1,wrong_final_value_or_expression:21; arithmetic_or_algebra_error:17; format_or_final_extraction:8; geometry_condition_error:2; question_misinterpretation:2,0.95,0.6,0.3,0.15,0.4
বিন্যাস ও সমাবেশ,20,3.45,2,3,2,10,3,1,question_misinterpretation:15; formula_or_method_error:13; arithmetic_or_algebra_error:11; missing_case_or_domain_error:5; format_or_final_extraction:3,0.95,0.35,0.75,0.25,0.2
সমাকলন,78,3.17,16,11,11,24,16,7,arithmetic_or_algebra_error:71; formula_or_method_error:34; question_misinterpretation:21; format_or_final_extraction:18; no_or_insufficient_reasoning:14,0.9103,0.6282,0.3333,0.4231,0.4487
ত্রিকোণমিতি,41,3.05,9,8,7,6,11,3,arithmetic_or_algebra_error:30; question_misinterpretation:16; wrong_final_value_or_expression:10; no_or_insufficient_reasoning:9; missing_case_or_domain_error:8,0.9268,0.561,0.4634,0.3902,0.5366
সরলরেখা,35,3.03,5,7,11,6,6,5,arithmetic_or_algebra_error:29; geometry_condition_error:16; formula_or_method_error:12; question_misinterpretation:10; no_or_insufficient_reasoning:5,0.8571,0.5429,0.5429,0.3714,0.5143
বহুপদী ও সমীকরণ,22,3.0,6,4,1,6,5,2,arithmetic_or_algebra_error:17; question_misinterpretation:7; no_or_insufficient_reasoning:6; formula_or_method_error:4; wrong_final_value_or_expression:3,0.9091,0.6364,0.3636,0.5,0.5
ম্যাট্রিক্স ও নির্ণায়ক,12,3.0,1,4,3,2,2,0,arithmetic_or_algebra_error:6; dimension_or_structure_error:5; no_or_insufficient_reasoning:4; question_misinterpretation:3; format_or_final_extraction:3,1.0,0.6667,0.3333,0.5833,0.4167
রৈখিক প্রোগ্রামিং,3,3.0,0,1,1,1,0,0,arithmetic_or_algebra_error:3; formula_or_method_error:2; question_misinterpretation:1,1.0,0.6667,0.6667,0.3333,0.3333
জটিল সংখ্যা,19,2.63,7,3,2,4,3,2,arithmetic_or_algebra_error:13; no_or_insufficient_reasoning:7; formula_or_method_error:6; missing_case_or_domain_error:3; question_misinterpretation:2,0.8947,0.6842,0.6316,0.5789,0.4737
ফাংশন,10,2.6,4,2,0,2,2,0,missing_case_or_domain_error:5; arithmetic_or_algebra_error:5; question_misinterpretation:3; formula_or_method_error:1; geometry_condition_error:1,1.0,0.7,0.4,0.6,0.7
ভেক্টর,18,2.56,6,5,2,1,4,4,formula_or_method_error:12; arithmetic_or_algebra_error:8; question_misinterpretation:5; no_or_insufficient_reasoning:4; wrong_final_value_or_expression:3,0.7778,0.7222,0.4444,0.6111,0.6667
অন্তরীকরণ,74,2.55,24,11,21,10,8,12,arithmetic_or_algebra_error:56; question_misinterpretation:27; no_or_insufficient_reasoning:13; format_or_final_extraction:11; formula_or_method_error:8,0.8378,0.7703,0.5,0.6081,0.5676
সম্ভাবনা,33,2.45,10,6,11,4,2,3,wrong_final_value_or_expression:15; question_misinterpretation:10; arithmetic_or_algebra_error:9; manual_failure_note_uncategorized:6; no_or_insufficient_reasoning:5,0.9091,0.8182,0.5455,0.6364,0.5455
বাস্তব সংখ্যা ও অসমতা,9,2.22,2,4,2,1,0,1,no_or_insufficient_reasoning:4; arithmetic_or_algebra_error:3; format_or_final_extraction:1; missing_case_or_domain_error:1; question_misinterpretation:1,0.8889,0.7778,0.7778,0.5556,0.6667
