ChapterName,total,correct,incorrect,accuracy
রৈখিক প্রোগ্রামিং,3,2,1,0.6666666666666666
ফাংশন,10,6,4,0.6
ম্যাট্রিক্স ও নির্ণায়ক,12,7,5,0.5833333333333334
সম্ভাবনা,33,18,15,0.5454545454545454
অন্তরীকরণ,74,40,34,0.5405405405405406
ভেক্টর,18,8,10,0.4444444444444444
জটিল সংখ্যা,19,7,12,0.3684210526315789
সমাকলন,78,27,51,0.34615384615384615
বাস্তব সংখ্যা ও অসমতা,9,3,6,0.3333333333333333
বহুপদী ও সমীকরণ,22,7,15,0.3181818181818182
ত্রিকোণমিতি,41,13,28,0.3170731707317073
সরলরেখা,35,11,24,0.3142857142857143
বিন্যাস ও সমাবেশ,20,4,16,0.2
বৃত্ত,25,4,21,0.16
দ্বিপদী বিস্তৃতি,20,3,17,0.15
কণিক,37,2,35,0.05405405405405406
স্থিতিবিদ্যা,34,1,33,0.029411764705882353
গতিবিদ্যা,38,1,37,0.02631578947368421
