ChapterName,total,correct,incorrect,accuracy
অন্তরীকরণ,74,40,34,0.5405405405405406
ফাংশন,10,5,5,0.5
সম্ভাবনা,33,16,17,0.48484848484848486
বাস্তব সংখ্যা ও অসমতা,9,4,5,0.4444444444444444
জটিল সংখ্যা,19,8,11,0.42105263157894735
ম্যাট্রিক্স ও নির্ণায়ক,12,5,7,0.4166666666666667
বহুপদী ও সমীকরণ,22,9,13,0.4090909090909091
সমাকলন,78,31,47,0.3974358974358974
ভেক্টর,18,7,11,0.3888888888888889
ত্রিকোণমিতি,41,15,26,0.36585365853658536
সরলরেখা,35,12,23,0.34285714285714286
বৃত্ত,25,8,17,0.32
গতিবিদ্যা,38,10,28,0.2631578947368421
দ্বিপদী বিস্তৃতি,20,4,16,0.2
বিন্যাস ও সমাবেশ,20,4,16,0.2
স্থিতিবিদ্যা,34,5,29,0.14705882352941177
কণিক,37,3,34,0.08108108108108109
রৈখিক প্রোগ্রামিং,3,0,3,0.0
