ChapterName,total,correct,incorrect,accuracy
সম্ভাবনা,33,24,9,0.7272727272727273
রৈখিক প্রোগ্রামিং,3,2,1,0.6666666666666666
অন্তরীকরণ,74,47,27,0.6351351351351351
ম্যাট্রিক্স ও নির্ণায়ক,12,7,5,0.5833333333333334
সমাকলন,78,45,33,0.5769230769230769
বাস্তব সংখ্যা ও অসমতা,9,5,4,0.5555555555555556
ফাংশন,10,5,5,0.5
ভেক্টর,18,9,9,0.5
বহুপদী ও সমীকরণ,22,9,13,0.4090909090909091
সরলরেখা,35,14,21,0.4
ত্রিকোণমিতি,41,16,25,0.3902439024390244
জটিল সংখ্যা,19,7,12,0.3684210526315789
দ্বিপদী বিস্তৃতি,20,7,13,0.35
বিন্যাস ও সমাবেশ,20,6,14,0.3
কণিক,37,10,27,0.2702702702702703
বৃত্ত,25,6,19,0.24
গতিবিদ্যা,38,5,33,0.13157894736842105
স্থিতিবিদ্যা,34,3,31,0.08823529411764706
