ChapterName,total,correct,incorrect,accuracy
বাস্তব সংখ্যা ও অসমতা,9,7,2,0.7777777777777778
রৈখিক প্রোগ্রামিং,3,2,1,0.6666666666666666
সম্ভাবনা,33,22,11,0.6666666666666666
অন্তরীকরণ,74,43,31,0.581081081081081
সমাকলন,78,44,34,0.5641025641025641
ম্যাট্রিক্স ও নির্ণায়ক,12,6,6,0.5
ভেক্টর,18,9,9,0.5
ফাংশন,10,5,5,0.5
জটিল সংখ্যা,19,8,11,0.42105263157894735
ত্রিকোণমিতি,41,17,24,0.4146341463414634
বহুপদী ও সমীকরণ,22,8,14,0.36363636363636365
বিন্যাস ও সমাবেশ,20,7,13,0.35
দ্বিপদী বিস্তৃতি,20,7,13,0.35
সরলরেখা,35,12,23,0.34285714285714286
কণিক,37,12,25,0.32432432432432434
গতিবিদ্যা,38,7,31,0.18421052631578946
বৃত্ত,25,3,22,0.12
স্থিতিবিদ্যা,34,3,31,0.08823529411764706
