ChapterName,total,correct,incorrect,accuracy
রৈখিক প্রোগ্রামিং,3,2,1,0.6666666666666666
অন্তরীকরণ,74,47,27,0.6351351351351351
ফাংশন,10,6,4,0.6
সম্ভাবনা,33,19,14,0.5757575757575758
বহুপদী ও সমীকরণ,22,12,10,0.5454545454545454
ম্যাট্রিক্স ও নির্ণায়ক,12,6,6,0.5
ভেক্টর,18,8,10,0.4444444444444444
জটিল সংখ্যা,19,8,11,0.42105263157894735
সমাকলন,78,31,47,0.3974358974358974
সরলরেখা,35,13,22,0.37142857142857144
বাস্তব সংখ্যা ও অসমতা,9,3,6,0.3333333333333333
ত্রিকোণমিতি,41,13,28,0.3170731707317073
বিন্যাস ও সমাবেশ,20,4,16,0.2
দ্বিপদী বিস্তৃতি,20,4,16,0.2
বৃত্ত,25,4,21,0.16
গতিবিদ্যা,38,4,34,0.10526315789473684
স্থিতিবিদ্যা,34,3,31,0.08823529411764706
কণিক,37,3,34,0.08108108108108109
