ChapterName,total,correct,incorrect,accuracy
বাস্তব সংখ্যা ও অসমতা,9,7,2,0.7777777777777778
সম্ভাবনা,33,16,17,0.48484848484848486
ভেক্টর,18,8,10,0.4444444444444444
ত্রিকোণমিতি,41,18,23,0.43902439024390244
জটিল সংখ্যা,19,8,11,0.42105263157894735
অন্তরীকরণ,74,30,44,0.40540540540540543
ফাংশন,10,4,6,0.4
সরলরেখা,35,13,22,0.37142857142857144
দ্বিপদী বিস্তৃতি,20,7,13,0.35
রৈখিক প্রোগ্রামিং,3,1,2,0.3333333333333333
সমাকলন,78,25,53,0.32051282051282054
বহুপদী ও সমীকরণ,22,6,16,0.2727272727272727
বৃত্ত,25,5,20,0.2
ম্যাট্রিক্স ও নির্ণায়ক,12,2,10,0.16666666666666666
বিন্যাস ও সমাবেশ,20,3,17,0.15
স্থিতিবিদ্যা,34,5,29,0.14705882352941177
কণিক,37,5,32,0.13513513513513514
গতিবিদ্যা,38,5,33,0.13157894736842105
