id,ChapterName,label,expected_final_answer,predicted_final_answer
1,ম্যাট্রিক্স ও নির্ণায়ক,1,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$","AB = BA = x^2 I_3, এবং B^{-1} = A / x^2 (x ≠ 0)"
2,ম্যাট্রিক্স ও নির্ণায়ক,1,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,11&-9\\-27&38\end{bmatrix}
3,ম্যাট্রিক্স ও নির্ণায়ক,1,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,A = [-1\ 2\ 1]
4,ম্যাট্রিক্স ও নির্ণায়ক,0,$B=\begin{bmatrix}1&2\\2&3\end{bmatrix}$,1&2\\2&3\end{bmatrix}
5,ম্যাট্রিক্স ও নির্ণায়ক,1,$-114$,-114
6,ম্যাট্রিক্স ও নির্ণায়ক,1,"$x=-1,-11,3$","= -11,\; -1,\; 3"
7,ম্যাট্রিক্স ও নির্ণায়ক,0,$p(1-p)^2(p^2-1)$,(p+1)(p-1)^3
9,ম্যাট্রিক্স ও নির্ণায়ক,1,"$x=2,\ y=2,\ z=1$","=2,\ y=2,\ z=1"
10,ম্যাট্রিক্স ও নির্ণায়ক,1,$\theta=n\pi\pm\frac{\pi}{6}$,"[
\theta=\frac{\pi}{6}+k\pi,\quad k\in\mathbb{Z}.
\]"
11,ম্যাট্রিক্স ও নির্ণায়ক,1,$\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}$,0&0&0\\0&0&0\\0&0&0\end{bmatrix}
12,ম্যাট্রিক্স ও নির্ণায়ক,1,$3c(a-2b)(2b-3c)$,3c(a-2b)(2b-3c)
13,ম্যাট্রিক্স ও নির্ণায়ক,1,$B=\begin{bmatrix}-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}$,-\tfrac{1}{2} & \tfrac{3}{2}\\[4pt] 1 & -2\end{bmatrix}
14,ভেক্টর,1,$\pm\frac{5}{\sqrt{3}}(\hat{i}+\hat{j}+\hat{k})$,= ±(5/√3)(i + j + k)
15,ভেক্টর,1,$\pm\frac{2\hat{i}-\hat{j}-\hat{k}}{\sqrt{6}}$,"[
\frac{2}{\sqrt{6}}\hat{i}-\frac{1}{\sqrt{6}}\hat{j}-\frac{1}{\sqrt{6}}\hat{k}
\]"
16,ভেক্টর,1,$\theta=150^{\circ}$,5\pi}{6}\ (\text{or }150^\circ)
17,ভেক্টর,1,"$\frac{x}{a}=\frac{y}{b}=\frac{z}{c}$ যেখানে $a\ne0,\ b\ne0,\ c\ne0$","Vector form: \mathbf{r} = (3\hat{i}+\hat{j}+\hat{k}) + t(-\hat{i}+\hat{j}-2\hat{k})

Symmetric form: \frac{x-3}{-1} = \frac{y-1}{1} = \frac{z-1}{-2}"
18,ভেক্টর,1,$\frac{\pi}{3}$,60°
19,ভেক্টর,1,$\frac{3\sqrt{3}}{2}$ বর্গ একক,(3/2)√3
20,ভেক্টর,0,"$\vec{W}=-\frac{45}{29}\hat{i}+\frac{3}{29}\hat{j}+\frac{34}{29}\hat{k}$, $\frac{110}{\sqrt{3190}}$","W = (-45/29)î + (3/29)ĵ + (34/29)k

proj_W(A) = (-45/29)î + (3/29)ĵ + (34/29)k"
21,ভেক্টর,0,$\sqrt{299}$,299}
24,ভেক্টর,1,$a=5$,= 5
25,ভেক্টর,0,"$|\overrightarrow{AB}|=\sqrt{76}$, $\hat{a}=\frac{2\hat{i}-6\hat{j}+6\hat{k}}{\sqrt{76}}$","AB} = 2\hat{i} - 6\hat{j} + 6\hat{k}
, \quad |\overrightarrow{AB}| = 2\sqrt{19}
, \quad \text{unit vector along } \overrightarrow{AB} = \frac{1}{\sqrt{19}}(\hat{i} - 3\hat{j} + 3\hat{k})"
26,ভেক্টর,1,$\frac{1}{2}\sqrt{107}$,(1/2)√107
27,ভেক্টর,1,$\theta=\cos^{-1}\left(\frac{2}{3}\right)$,= arccos(2/3) ≈ 48.19°
28,ভেক্টর,1,$\pm\frac{1}{3}(2\hat{i}+\hat{j}-2\hat{k})$,"(\left(\dfrac{2}{3},\dfrac{1}{3},-\dfrac{2}{3}\right)\)"
29,ভেক্টর,0,$\frac{\sqrt{3}+1}{4}$,"[
\operatorname{proj}_{\bar b}\bar a=\frac{\sqrt{3}+1}{16}\big(\sqrt{3}\,\hat{i}+3\,\hat{j}-2\,\hat{k}\big)
\]"
30,ভেক্টর,1,সমকোণী ত্রিভুজ গঠন করা সম্ভব।,", সম্ভব; A = B + C এবং A·C = 0, সুতরাং ত্রিভুজটি সমকোণী।"
31,ভেক্টর,1,"$a=1, b=1$","= 1, b = 1"
32,ভেক্টর,0,$2\sqrt{61}$,12\hat{i}+6\hat{j}-8\hat{k}
33,সরলরেখা,1,$k=\pm5$,= ±5
34,সরলরেখা,1,"$5+20\sqrt{3}$ বর্গ একক, $20\sqrt{3}-5$ বর্গ একক",20√3 + 5
35,সরলরেখা,1,"$a=-5, b=-4$; $3x+6y+1=0$","= -5, b = -4; AB: 3x + 6y + 1 = 0"
36,সরলরেখা,0,$x-2y+3=0$,= (1/2)x + 3/2
37,সরলরেখা,0,$(y-2)=7(x-1)$ এবং $(y-2)=-\frac{1}{7}(x-1)$,
38,সরলরেখা,1,"$(6,-8)$","(6, -8)"
39,সরলরেখা,1,"$\varphi=\sqrt{\frac{3\pm\sqrt{5}}{2}}$ বা, $\varphi=0.618$ (প্রায়) ও $1.618$ (প্রায়)",(\displaystyle \varphi=\sqrt{\frac{3+\sqrt{5}}{2}}\quad\text{or}\quad \varphi=\sqrt{\frac{3-\sqrt{5}}{2}}\)
40,সরলরেখা,1,$x+3y-8\pm3\sqrt{10}=0$,"+ 3y - 8 + 3√10 = 0
x + 3y - 8 - 3√10 = 0"
42,সরলরেখা,1,$3x-y=1$,3x - y - 1 = 0
43,সরলরেখা,0,$11x+3y-17=0$,21x - 77y + 133 = 0
44,সরলরেখা,0,"$\pm\cot2\alpha$; $\alpha$, $\frac{\pi}{2}-\alpha$","; \phi = \bigl|\tfrac{\pi}{2}-2\alpha\bigr|।

রেখাগুলি x-অক্ষের সাথে যারা কোণ তৈরি করে: \; \alpha \; এবং \; \tfrac{\pi}{2}-\alpha \; (mod \; \pi)।"
45,সরলরেখা,1,$2$ একক,2
46,সরলরেখা,1,$x+y+2=0$,+ y + 2 = 0
47,সরলরেখা,1,$135^{\circ}$,= 45°; ইতিবাচক x-অক্ষ থেকে পরিমাপ করা কোণ = 135°
48,সরলরেখা,1,$\frac{4}{3}$,4/3
49,সরলরেখা,0,$(b^2+a^2)y-ac=0$,= ac/(a^2 + b^2)
50,সরলরেখা,1,$7x-24y+359=0$,"= 7
7x - 24y + 359 = 0"
51,সরলরেখা,1,"$(8,-5)$ অথবা $(-8,5)$","D = (-8, 5) বা D = (8, -5)"
52,সরলরেখা,1,$14x-21y-108=0$,14x - 21y - 108 = 0
53,সরলরেখা,1,"$(2-\sqrt{3})x+y=10-3\sqrt{3}$, $(2+\sqrt{3})x+y=10+3\sqrt{3}$","(2 + √3)x + y - 10 - 3√3 = 0
(2 - √3)x + y - 10 + 3√3 = 0"
54,সরলরেখা,1,"$y=2x+400$; $1,000$ টাকা","C(x) = 2x + 400 টাকা
300 একক পণ্যের ব্যয় = 1000 টাকা"
56,সরলরেখা,0,$ABCD$ ট্রাপিজিয়াম নয়।,"AB ∥ CD এবং BC ∥ AD, তাই ABCD একটি সমান্তরালচতুর্ভুজ (অতএব ট্রাপিজিয়াম)।"
57,সরলরেখা,1,$\alpha=30^{\circ}$ অথবা $210^{\circ}$ এবং $p=-\frac{1}{\sqrt{3}}$ অথবা $\frac{1}{\sqrt{3}}$,"(α,p)=\Big(\frac{\pi}{6}+2k\pi,\ -\frac{1}{\sqrt{3}}\Big)\ \text{or}\ (α,p)=\Big(\frac{7\pi}{6}+2k\pi,\ \frac{1}{\sqrt{3}}\Big),\ k\in\mathbb{Z}"
58,সরলরেখা,1,$\theta=\tan^{-1}\frac{7}{4}=60.255^{\circ}$,=\arctan\!\left(\tfrac{7}{4}\right)\approx 60.255^\circ
59,সরলরেখা,1,$2x+11y-34=0$,2x + 11y - 34 = 0
60,সরলরেখা,0,$12x+18y-129=0$,4x+6y-43=0
61,সরলরেখা,1,$k=\frac{8}{5}$,= 8/5
62,সরলরেখা,0,$3x^2-y^2=0$,= ±√3 x
63,সরলরেখা,1,$5$,5
64,সরলরেখা,1,"$(5,2)$, $4\sqrt{5}$","Q = (5, 2), লম্ব দূরত্ব = 4√5"
65,সরলরেখা,1,$3x-y=0$,= 3; তৃতীয় রেখা: x + 3y + 2 = 0; মূল বিন্দুগামী এবং তৃতীয়ের সাথে লম্ব রেখার সমীকরণ: y = 3x (বা 3x - y = 0)।
67,সরলরেখা,0,$\sqrt{3}x+y=10$,"= -√3 x + 10  ,  y = -√3 x - 10"
68,সরলরেখা,0,$x+y=9$ ও $x-y=1$,"+ y - 9 = 0
x - y - 1 = 0"
69,সরলরেখা,1,"$(6,5)$","(6,5)"
70,সরলরেখা,1,$32$ বর্গ একক,32
71,বৃত্ত,0,$x^2+y^2-8x+7y-3=0$,2+y^2-8x+7y-3=0
72,বৃত্ত,1,"$C(0,\pm\sqrt{2}a)$, $x^2+y^2-ax-2a^2=0$","C = (0, a√2) or C = (0, -a√2)
ABC বৃত্ত: (x - a/2)^2 + y^2 = 9a^2/4  বা সমতুল্যভাবে  x^2 + y^2 - a x - 2a^2 = 0."
73,বৃত্ত,1,"$x-2y+4=0$, $2x+y+3=0$","2x + y + 3 = 0
স্পর্শকের উপর লম্ব (নর্মাল): x - 2y + 4 = 0"
74,বৃত্ত,0,$3x+4y-25=0$,3x + 4y = 64
75,বৃত্ত,1,$x^2+\left(y-\frac{5}{3}\right)^2=\frac{25}{9}$,2 + (y - 5/3)^2 = 25/9
76,বৃত্ত,0,$\frac{\sqrt{6437}}{3}=26.74$ (প্রায়),(6437)/3
77,বৃত্ত,1,$(x-3)^2+(y-4)^2=4$ এবং $(x-3)^2+(y-4)^2=64$,"(x-3)^2 + (y-4)^2 = 4
(x-3)^2 + (y-4)^2 = 64"
78,বৃত্ত,1,$(x-5)^2+(y\pm\sqrt{21})^2=25$,"(x - 5)^2 + (y - √21)^2 = 25
(x - 5)^2 + (y + √21)^2 = 25"
