id,ChapterName,label,expected_final_answer,predicted_final_answer
1,ম্যাট্রিক্স ও নির্ণায়ক,0,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$",$AB$ এবং $BA$ এর মধ্যে সম্পর্ক নেই। $B^{-1} = \begin{bmatrix} -1 & -2 & -2 \\ 2 & -12 & 4 \\ -1 & -9 & 11 \end{bmatrix}$.
2,ম্যাট্রিক্স ও নির্ণায়ক,0,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,$\begin{bmatrix}11 & -9 \\ -27 & 36\end{bmatrix}$
3,ম্যাট্রিক্স ও নির্ণায়ক,0,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,$A = \begin{bmatrix}-0.25&0.5&0.25\\-0.0625&0.125&0.0889\\-0.25&0.5&0.25\end{bmatrix}$
4,ম্যাট্রিক্স ও নির্ণায়ক,0,$B=\begin{bmatrix}1&2\\2&3\end{bmatrix}$,"[
B = \begin{bmatrix}1&2.5\\2&\frac{7}{3}\end{bmatrix}
\]"
5,ম্যাট্রিক্স ও নির্ণায়ক,0,$-114$,
6,ম্যাট্রিক্স ও নির্ণায়ক,0,"$x=-1,-11,3$","[
x = 1
\]"
7,ম্যাট্রিক্স ও নির্ণায়ক,0,$p(1-p)^2(p^2-1)$,
9,ম্যাট্রিক্স ও নির্ণায়ক,1,"$x=2,\ y=2,\ z=1$","$x = 2$, $y = 2$, $z = 1$"
10,ম্যাট্রিক্স ও নির্ণায়ক,0,$\theta=n\pi\pm\frac{\pi}{6}$,"(\theta = \frac{\pi}{6}, \frac{5\pi}{6}, \frac{7\pi}{6}, \frac{11\pi}{6}\)"
11,ম্যাট্রিক্স ও নির্ণায়ক,1,$\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}$,$\begin{bmatrix}0 & 0 & 0\\0 & 0 & 0\\0 & 0 & 0\end{bmatrix}$
12,ম্যাট্রিক্স ও নির্ণায়ক,0,$3c(a-2b)(2b-3c)$,6abc
13,ম্যাট্রিক্স ও নির্ণায়ক,0,$B=\begin{bmatrix}-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}$,
14,ভেক্টর,0,$\pm\frac{5}{\sqrt{3}}(\hat{i}+\hat{j}+\hat{k})$,"[
-\frac{5\sqrt{3}}{3}\hat{i} - \frac{5\sqrt{3}}{3}\hat{j} - \frac{5\sqrt{3}}{3}\hat{k}
\]"
15,ভেক্টর,0,$\pm\frac{2\hat{i}-\hat{j}-\hat{k}}{\sqrt{6}}$,
16,ভেক্টর,1,$\theta=150^{\circ}$,$150^\circ$
17,ভেক্টর,0,"$\frac{x}{a}=\frac{y}{b}=\frac{z}{c}$ যেখানে $a\ne0,\ b\ne0,\ c\ne0$",$\vec{r} = (3\hat{i} + \hat{j} + \hat{k}) + \lambda (2\hat{i} + 2\hat{j} - \hat{k})$
