id,ChapterName,model,manual_label,manual_status,judge_label,genuine_failure,error_type,model_note,expected_final_answer,predicted_final_answer
1,ম্যাট্রিক্স ও নির্ণায়ক,gpt5,1,correct,1,0,correct,,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$","AB = BA = x^2 I_3, এবং B^{-1} = A / x^2 (x ≠ 0)"
1,ম্যাট্রিক্স ও নির্ণায়ক,qwen3_4b,0,failure,0,1,no_or_insufficient_reasoning,Qwen3: didnt even solve. Just said there is a relation between A and B. also wrote B^-1=A. Without anycalculation,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$",$B^{-1} = A$
1,ম্যাট্রিক্স ও নির্ণায়ক,qwen2_5_7b,0,failure,0,1,dimension_or_structure_error,"failure: Expected `$AB=BA$, $B^{-1}=\frac{A}{x^2}$`, কিন্তু model দিয়েছে `$AB$ এবং $BA$ এর মধ্যে সম্পর্ক নেই। $B^{-1} = \begin{bmatrix} -1 & -2 & -2 \\ 2 & -12 & 4 \\ -1 & -9 & 11 \end{bmatrix}$.`। অতএব ম্যাট্রিক্সের গুণ, inverse/determinant, dimension অথবা scalar factor ঠিকভাবে ব্যবহার করেনি।","$AB=BA$, $B^{-1}=\frac{A}{x^2}$",$AB$ এবং $BA$ এর মধ্যে সম্পর্ক নেই। $B^{-1} = \begin{bmatrix} -1 & -2 & -2 \\ 2 & -12 & 4 \\ -1 & -9 & 11 \end{bmatrix}$.
1,ম্যাট্রিক্স ও নির্ণায়ক,gemma3_4b,0,failure,0,1,arithmetic_or_algebra_error,Gemma: calculation mistake while mul;tiplying matrix. Specifically (AB)_12,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$",AB = BA হবে যদি x = 0 হয়।
1,ম্যাট্রিক্স ও নির্ণায়ক,mistral3_3b,0,failure,0,1,formula_or_method_error,Mistral: solving in wrong way. Calculating B^-1 first without figuring out AB=BA. Since AB=x^2I. So B^-1 is simple from there.,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$",** \( AB \) ও \( BA \) সাধারণত সমান নয়। \( B^{-1} \) প্রকাশ করা হয়: \[ B^{-1} = \frac{1}{x} \begin{bmatrix}3 & -2 & -1 \\ 2 & 1 & 11 \\ -1 & 7 & 1\end{bmatrix} \]
2,ম্যাট্রিক্স ও নির্ণায়ক,gpt5,1,correct,1,0,correct,,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,11&-9\\-27&38\end{bmatrix}
2,ম্যাট্রিক্স ও নির্ণায়ক,qwen3_4b,1,correct,1,0,correct,,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,$$ \begin{bmatrix} 11 & -9 \\ -27 & 38 \end{bmatrix} $$
2,ম্যাট্রিক্স ও নির্ণায়ক,qwen2_5_7b,0,failure,0,1,dimension_or_structure_error,"failure: Expected `$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$`, কিন্তু model দিয়েছে `$\begin{bmatrix}11 & -9 \\ -27 & 36\end{bmatrix}$`। অতএব ম্যাট্রিক্সের গুণ, inverse/determinant, dimension অথবা scalar factor ঠিকভাবে ব্যবহার করেনি।",$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,$\begin{bmatrix}11 & -9 \\ -27 & 36\end{bmatrix}$
2,ম্যাট্রিক্স ও নির্ণায়ক,gemma3_4b,1,correct,1,0,correct,,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$
2,ম্যাট্রিক্স ও নির্ণায়ক,mistral3_3b,0,failure,0,1,formula_or_method_error,Mistral: failed to get A from A^-1,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,\[ \begin{bmatrix} \frac{3}{5} & -\frac{33}{25} \\ \frac{33}{25} & -\frac{18}{25} \end{bmatrix} \]
3,ম্যাট্রিক্স ও নির্ণায়ক,gpt5,1,correct,1,0,correct,,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,A = [-1\ 2\ 1]
3,ম্যাট্রিক্স ও নির্ণায়ক,qwen3_4b,1,correct,1,0,correct,,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,$$ \begin{bmatrix}-1 & 2 & 1\end{bmatrix} $$
3,ম্যাট্রিক্স ও নির্ণায়ক,qwen2_5_7b,0,failure,0,1,dimension_or_structure_error,"failure: Expected `$A=\begin{bmatrix}-1&2&1\end{bmatrix}$`, কিন্তু model দিয়েছে `$A = \begin{bmatrix}-0.25&0.5&0.25\\-0.0625&0.125&0.0889\\-0.25&0.5&0.25\end{bmatrix}$`। অতএব ম্যাট্রিক্সের গুণ, inverse/determinant, dimension অথবা scalar factor ঠিকভাবে ব্যবহার করেনি।",$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,$A = \begin{bmatrix}-0.25&0.5&0.25\\-0.0625&0.125&0.0889\\-0.25&0.5&0.25\end{bmatrix}$
3,ম্যাট্রিক্স ও নির্ণায়ক,gemma3_4b,0,failure,0,1,question_misinterpretation,Gemma: failed to understand dimension of A. [3 by 1 matrix]A=[3 by 3 matrix],$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,"A ম্যাট্রিক্সটি নির্ণয় করা সম্ভব নয়, কারণ প্রদত্ত সমীকরণ থেকে একাধিক সমাধান পাওয়া যেতে পারে।"
3,ম্যাট্রিক্স ও নির্ণায়ক,mistral3_3b,0,failure,0,1,question_misinterpretation,Mistral: same as gemma (Gemma: failed to understand dimension of A. [3 by 1 matrix]A=[3 by 3 matrix]),$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,** \[ \begin{bmatrix} -1 & 2 & 1 \\ -1 & 2 & 1 \\ -1 & 2 & 1 \end{bmatrix} \]
4,ম্যাট্রিক্স ও নির্ণায়ক,gpt5,1,likely_false_negative,0,0,correct,"likely_false_negative: সমাধান/চূড়ান্ত অংশে expected উত্তর উপস্থিত বা সমতুল্য form আছে; এটি সম্ভবত formatting/final-extraction mismatch, genuine math failure নয়।",$B=\begin{bmatrix}1&2\\2&3\end{bmatrix}$,1&2\\2&3\end{bmatrix}
