ChapterName,total,correct,incorrect,accuracy
ফাংশন,10,10,0,1.0
সম্ভাবনা,33,30,3,0.9090909090909091
ম্যাট্রিক্স ও নির্ণায়ক,12,10,2,0.8333333333333334
বিন্যাস ও সমাবেশ,20,16,4,0.8
ত্রিকোণমিতি,41,31,10,0.7560975609756098
বহুপদী ও সমীকরণ,22,16,6,0.7272727272727273
ভেক্টর,18,13,5,0.7222222222222222
সরলরেখা,35,25,10,0.7142857142857143
দ্বিপদী বিস্তৃতি,20,14,6,0.7
বাস্তব সংখ্যা ও অসমতা,9,6,3,0.6666666666666666
রৈখিক প্রোগ্রামিং,3,2,1,0.6666666666666666
সমাকলন,78,51,27,0.6538461538461539
স্থিতিবিদ্যা,34,22,12,0.6470588235294118
অন্তরীকরণ,74,45,29,0.6081081081081081
বৃত্ত,25,14,11,0.56
গতিবিদ্যা,38,20,18,0.5263157894736842
কণিক,37,18,19,0.4864864864864865
জটিল সংখ্যা,19,9,10,0.47368421052631576
