id,ChapterName,label,expected_final_answer,predicted_final_answer
1,ম্যাট্রিক্স ও নির্ণায়ক,0,"$AB=BA$, $B^{-1}=\frac{A}{x^2}$",1}{3}\begin{bmatrix}3x&-4x&2x\\-2x&x&0\\-x&-x&x\end{bmatrix}
2,ম্যাট্রিক্স ও নির্ণায়ক,0,$\begin{bmatrix}11&-9\\-27&38\end{bmatrix}$,25&amp;35\\15&amp;10\end{bmatrix}}}
3,ম্যাট্রিক্স ও নির্ণায়ক,0,$A=\begin{bmatrix}-1&2&1\end{bmatrix}$,$\boxed{\begin{bmatrix}-4&8&4\\-1&2&1\\-3&6&3\end{bmatrix}}$
4,ম্যাট্রিক্স ও নির্ণায়ক,0,$B=\begin{bmatrix}1&2\\2&3\end{bmatrix}$,= \begin{bmatrix}2&5\\1&3\end{bmatrix}
5,ম্যাট্রিক্স ও নির্ণায়ক,0,$-114$,0
6,ম্যাট্রিক্স ও নির্ণায়ক,0,"$x=-1,-11,3$","-9+\sqrt{741}}{2}, \frac{-9-\sqrt{741}}{2}"
7,ম্যাট্রিক্স ও নির্ণায়ক,0,$p(1-p)^2(p^2-1)$,
9,ম্যাট্রিক্স ও নির্ণায়ক,0,"$x=2,\ y=2,\ z=1$",
10,ম্যাট্রিক্স ও নির্ণায়ক,0,$\theta=n\pi\pm\frac{\pi}{6}$,4}
11,ম্যাট্রিক্স ও নির্ণায়ক,0,$\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}$,$\boxed{\begin{bmatrix}0&-2&-2\\-2&0&-2\\-2&-2&0\end{bmatrix}}$
12,ম্যাট্রিক্স ও নির্ণায়ক,0,$3c(a-2b)(2b-3c)$,-2ab + 3ac + 6bc - 9c^2}
13,ম্যাট্রিক্স ও নির্ণায়ক,1,$B=\begin{bmatrix}-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}$,-\frac{1}{2}&\frac{3}{2}\\1&-2\end{bmatrix}}
14,ভেক্টর,0,$\pm\frac{5}{\sqrt{3}}(\hat{i}+\hat{j}+\hat{k})$,-\frac{25}{6}\hat{i} - \frac{25}{6}\hat{j} - \frac{25}{6}\hat{k}}
